code;Company name;Company registered name;Exhibition ID;Project name;Booth;Stand_no;Exhibition area;Exhibited products;T1;Exhibition start time;Exhibition end time;Service type;tag;T1;T2;T3;International station link;Clerk;Region;Province;City;District;Customer service;Matching pre registered buyers-tag;Matching pre registered VIP buyers-tag;Matching pre registered bill buyers-tag;Matching pre registered intended buyers-tag;Matching pre registered contacted buyers-tag;Matching pre registered buyers-T1;Matching pre registered intended buyers-T1
S10001700;Jiaxing Meidan Food Co., Ltd.;??????????;152683595067;2025????????????????;1;A3C208;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/Jiaxing-Meidan-Food-Co-Ltd_100000048029.html;???;????;???;???;???;??;;;;;;;
S10002421;Zhejiang Gaoming Glass Co.,Ltd;??????????;152683595067;2025????????????????;1;B3G203;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/Zhejiang-Gaoming-Glass-Co-Ltd_100000057370.html;???;????;???;???;???;???;;;;;;;
S10002629;Jiangsu Skyrun Foods Technology Co., Ltd.;????????????;152683595067;2025????????????????;1;A3C212;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;https://www.tradechina.com/supplier/Jiangsu-Skyrun-Foods-Technology-Co-Ltd_100000060074.html;??;????;???;???;???;???;;;;;;;
S10002733;Yuyao Dengfeng InInternational Trade Co.,Ltd;?????????????;152683595067;2025????????????????;1;D1B213;Home Appliances;????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/Yuyao-Dengfeng-InInternational-Trade-Co-Ltd_100000061426.html;??;????;???;???;???;???;;;;;;;
S10015122;Zhejiang Huangyan Xinchao Stationery Co.,LTD;????????????;152683595067;2025????????????????;1;A3A113;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/Zhejiang-Huangyan-Xinchao-Stationery-Co-LTD_100024782952.html;??;????;???;???;???;???;;;;;;;
S10016783;WENZHOU LANTU INTERNATIONAL TRADE CO., LTD.;?????????????;152683595067;2025????????????????;1;A2G213;Homelife;?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/WENZHOU-LANTU-INTERNATIONAL-TRADE-CO-LTD_100026632655.html;???;????;???;???;???;???;;;;;;;
S10016829;Ningbo Haitai Industry & Trade Co., Ltd.;??????????;152683595067;2025????????????????;2;B3G110;Building Materials;???????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/Ningbo-Haitai-Industry-Trade-Co-Ltd_100026732525.html;???;????;???;???;???;??;;;;;;;
S10022405;ZHEJIANG ZHENJIN TRADE CO.,LTD;??????????;152683595067;2025????????????????;1;A1C213;Homelife;????/???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/ZHEJIANG-ZHENJIN-TRADE-CO-LTD_100053990027.html;???;????;???;???;???;??;;;;;;;
S10023344;NANTONG NTEC MONOFILAMENT GROUP;???????????????;152683595067;2025????????????????;1;B2I211;;???????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/NANTONG-NTEC-MONOFILAMENT-GROUP_100059908381.html;??;????;???;???;???;???;;;;;;;
S10025828;ZheJiang ShengFuLai New Energy Co., Ltd. ;????????????;152683595067;2025????????????????;1;B3A044;Building Materials;??????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;https://www.tradechina.com/supplier/ZheJiang-ShengFuLai-New-Energy-Co-Ltd_100102375418.html;???;????;???;???;???;???;;;;;;;
S10027122;Guangdong Sunrise Houseware Corp. Ltd.;??????????;152683595067;2025????????????????;2;A3A218;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;https://www.tradechina.com/supplier/Guangdong-Sunrise-Houseware-Corp-Ltd_100138110491.html;??;????;???;???;???;??;;;;;;;
S10031011;;????????????;152683595067;2025????????????????;1;B3A028;Building Materials;??????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S10032441;;??????????;152683595067;2025????????????????;1;C3M112;Building Materials;???;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S10038019;;????????????;152683595067;2025????????????????;1;C2K106;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???1;????;???;???;???;???;;;;;;;
S10041286;;????????????;152683595067;2025????????????????;1;C3M112;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S10047809;NINGBO HUAGUANG PRECISION INSTRUMENT CO., LTD;????????????;152683595067;2025????????????????;1;C1B208;;????;Education;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Toy Microscope;Baby Children & Maternity;Toys & Education;Educational Toys;https://www.tradechina.com/supplier/NINGBO-HUAGUANG-PRECISION-INSTRUMENT-CO-LTD_100316336604.html;???;????;???;???;???;??;;;;;;474;1
S15010816;;?????????????;152683595067;2025????????????????;1;A2A221;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S16319764;;??????????????;152683595067;2025????????????????;2;C1B108;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S16320004;;??????????;152683595067;2025????????????????;1;D1F118;Home Appliances;????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S16763524;;?????????????;152683595067;2025????????????????;2;B3K104;Building Materials;?????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S16835764;;????????????????;152683595067;2025????????????????;1;D1F113;Home Appliances;????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??1;????;???;???;???;???;;;;;;;
S17165044;;?????????????;152683595067;2025????????????????;2;B3C101;Building Materials;??;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;???;;;;;;;
S17253364;;??????????;152683595067;2025????????????????;2;C2K108;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S17253364;;??????????;152683595067;2025????????????????;0;C2K108;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S17417524;;?????????????????;152683595067;2025????????????????;2;A0100;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S17490964;;????????????;152683595067;2025????????????????;1,33;C2K103;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S17605336;;???????????;152683595067;2025????????????????;2;A2A101;Homelife;?????/?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S17605468;;???????????;152683595067;2025????????????????;1;D1D103;Home Appliances;????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S17605648;;????????????;152683595067;2025????????????????;2;C1C201;;???;Education;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;??????;???;???;???;??;;;;;;;
S17731684;;???????????;152683595067;2025????????????????;3;C3S101;;?????;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S17807056;;??????????;152683595067;2025????????????????;1;B3F110;Building Materials;??;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;?????;;;;;;???;????;???;???;???;???;;;;;;;
S17826796;;??????????;152683595067;2025????????????????;2;A3A105;Homelife;?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S17935924;;?????????????;152683595067;2025????????????????;1;B3G212;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S17958004;;??????????;152683595067;2025????????????????;1;C1F106;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
